cust_num,category,balance,age,acct_num,opendt
27,mon mkt,116785.888888889,70,184,12696
27,intl equity,3042.13888888889,70,185,13254
27,low  equity,16000.3166666667,70,186,13254
27,high equity,16420.9611111111,70,187,13304
27,low  equity,10856.1111111111,70,188,13653
27,high equity,8490.5,70,189,14284
27,low  equity,11219.9944444444,70,190,15382
27,mon mkt,3076.36111111111,70,191,15382
27,low  equity,19757.8666666667,70,192,15473
27,high equity,16853.5666666667,70,193,15473
27,mon mkt,1400.99444444444,70,194,17755
27,bonds,23854.0833333333,70,195,17755
28,mon mkt,452.566666666667,87,196,13955
29,low  equity,3123.52777777778,79,197,16034
29,low  equity,5105.14444444444,79,198,16034
29,low  equity,2424.8,79,199,16917
32,intl equity,37890.2944444444,45,200,12884
32,intl equity,9079.82777777778,45,201,13152
32,mon mkt,9972.81666666667,45,202,14020
32,intl equity,8822.50555555556,45,203,14882
33,low  equity,56117.8944444444,65,204,11765
33,bonds,18423.0166666667,65,205,11765
33,low  equity,1564.26666666667,65,206,13888
33,bonds,563.661111111111,65,207,13888
33,high equity,9348.37777777778,65,208,13327
33,intl equity,2373.19444444444,65,209,13327
33,low  equity,7169.98333333333,65,210,13326
33,low  equity,1690.12222222222,65,211,14425
33,low  equity,5172.87222222222,65,212,14425
33,low  equity,3931.98333333333,65,213,16686
33,low  equity,1941.18888888889,65,214,16686
33,bonds,2086.33333333333,65,215,16686
34,low  equity,7502.71111111111,68,216,13303
34,low  equity,4621.09444444444,68,217,16413
34,intl equity,10335.8611111111,68,218,16413
34,low  equity,2928.16666666667,68,219,16413
34,low  equity,5917.03333333333,68,220,16413
35,low  equity,11234.7944444444,51,221,11568
35,intl equity,5754.57777777778,51,222,14187
35,low  equity,15250.4611111111,51,223,14229
37,bonds,69452.5,64,224,13901
37,mon mkt,361120.405555556,64,225,14957
37,mon mkt,872.061111111111,64,226,17072
37,low  equity,1189.87777777778,64,227,17080
38,Retire Date,189077.633333333,73,228,17146
39,high equity,44769.3277777778,74,229,13971
39,intl equity,1284.76666666667,74,230,13066
39,intl equity,2045.20555555556,74,231,16797
39,intl equity,33888.5055555556,74,232,17146
39,bonds,56088.6555555556,74,233,17939
39,mon mkt,3587.62777777778,74,234,17979
40,low  equity,15958.1888888889,77,235,11512
40,low  equity,4467.17222222222,77,236,17188
41,low  equity,7512.8,61,237,16169
42,low  equity,2552.37777777778,54,238,16519
42,low  equity,2620.82777777778,54,239,16519
42,intl equity,2331.57222222222,54,240,16519
43,high equity,407.044444444444,61,241,14647
43,intl equity,75.55,61,242,15718
43,intl equity,24259.0222222222,61,243,16118
43,intl equity,8513.58333333333,61,244,16118
43,low  equity,5629.57222222222,61,245,16462
